AnimalID,DOB,Season,Age,Sex,Group,BehaviorMoM,Evento,ngroup,TransFer,Death,EventDate,Status,Asterisk
369,03/04/1969,<=2013,49.92,m,A,UG,,A,11/05/1971,,,Remove,
36A,1/21/1993,<=2013,26.08,f,A,S57,,A,02/09/1995,,,Remove,
36B,12/22/1992,<=2013,26.17,f,R,K79,nBB,BB,2/26/2004,,01/01/1996,Remove,
36C,12/31/1993,<=2013,25.17,m,R,L19,,R,01/10/1996,,,Remove,
36D,1/22/1995,<=2013,24.08,f,S,N16,,S,,08-Sep-14,,Dead,
36E,12/07/1995,<=2013,23.17,m,R,X34,,R,2/25/1998,,,Remove,
36F,12/21/1995,<=2013,23.17,m,S,O38,nGG,nGG,2/25/1998,,05/01/1997,Remove,
36G,12/26/1996,<=2013,22.17,m,S,H64,,S,2/19/1999,,,Remove,
36H,01/03/1997,<=2013,22.08,f,S,O36,nDD,nDD,02/12/1999,,05/01/1997,Remove,
36I,1/26/1998,<=2013,21.08,m,R,95A,,R,02/06/2001,,,Remove,
36J,12/26/1997,<=2013,21.17,f,BB,89A,,BB,,09-Jan-03,,Dead,
36K,01/12/1999,<=2013,20.08,m,F,K07,,F,03/12/2002,,,Remove,
36L,03/07/2000,<=2013,18.92,f,F,N05,,F,,31-Dec-01,,Dead,
36N,12/18/1999,<=2013,19.17,f,F,82A,,F,1/23/2002,,,Remove,
36O,12/08/2000,<=2013,18.17,f,HH,V80,,HH,12/13/2016,,,Remove,
36P,01/11/2001,<=2013,18.08,m,F,T27,,F,1/28/2003,,,Remove,
36R,12/29/2001,<=2013,17.17,m,R,54B,,R,,28-Mar-03,,Dead,
36S,12/05/2001,<=2013,17.17,m,F,Z11,V,V,,20-Nov-15,3/13/2015,Dead,***
36T,01/07/2003,<=2013,16.08,m,R,Z53,F,F,,28-Jun-12,05/07/2012,Dead,*
36V,9/27/2003,<=2013,15.42,M,R,35B,V,V,,,3/29/2016,IN CS,
36Z,01/12/2004,<=2013,15.08,F,F,00J,F,F,,,02/01/2016,IN CS,
370,02/09/1970,<=2013,49,f,A,GI,,A,11/05/1971,,,Remove,
371,03/03/1970,<=2013,48.92,m,A,L5,,A,11/05/1971,,,Remove,
372,3/24/1970,<=2013,48.92,f,H,AH,,H,9/27/1972,,,Remove,
373,3/20/1970,<=2013,48.92,m,I,FH,,I,,12-Jun-75,,Dead,
374,03/06/1970,<=2013,48.92,f,E,128,,E,10/28/1971,,,Remove,
375,1/23/1970,<=2013,49.08,f,J,XJ,nJ,nJ,3/19/1984,,07/01/1974,Remove,
376,3/21/1969,<=2013,49.92,m,F,OS,P,P,1/15/1985,,06/01/1984,Remove,
377,5/24/1970,<=2013,48.75,m,A,N9,,A,11/05/1971,,,Remove,
378,03/06/1970,<=2013,48.92,f,K,X5,,K,07/05/1972,,,Remove,
379,03/09/1970,<=2013,48.92,f,A,OG,,A,11/05/1971,,,Remove,
37A,01/05/1993,<=2013,26.08,f,A,O42,,A,02/01/1995,,,Remove,
37B,01/09/1993,<=2013,26.08,f,R,N37,nBB,BB,02/03/2004,,01/01/1996,Remove,
37C,1/29/1994,<=2013,25.08,m,S,K80,BB,BB,03/03/2004,,09/03/2003,Remove,
37D,12/30/1994,<=2013,24.17,f,F,L84,nKK,KK,,26-Aug-11,06/07/2000,Dead,
37E,1/30/1996,<=2013,23.08,f,R,H45,,R,2/27/1998,,,Remove,
37F,12/19/1995,<=2013,23.17,f,S,X55,nDD,nDD,1/27/1998,,06/01/1997,Remove,
37G,1/16/1997,<=2013,22.08,m,R,X78,nGG,nGG,2/27/2002,,05/01/1997,Remove,
37H,01/04/1997,<=2013,22.08,f,C,40A,,C,1/21/1999,,,Remove,
37I,2/20/1998,<=2013,21,f,R,02A,,R,2/22/2001,,,Remove,
37J,12/08/1997,<=2013,21.17,f,R,T94,,R,02/10/2006,,,Remove,
37K,12/27/1998,<=2013,20.17,f,F,Z11,,F,2/14/2001,,,Remove,
37L,01/03/2000,<=2013,19.08,f,I,R74,,I,1/23/2002,,,Remove,
37N,02/06/2000,<=2013,19,M,F,24B,F,F,,,2/22/2017,IN CS,
37O,12/30/2000,<=2013,18.17,m,F,N12,,F,1/22/2003,,,Remove,
37P,12/28/2000,<=2013,18.17,F,R,K28,,R,,,,IN CS,
37R,11/15/2001,<=2013,17.25,f,R,10C,,R,02/04/2004,,,Remove,
37S,12/25/2001,<=2013,17.17,m,F,X87,,F,1/30/2004,,,Remove,
37T,12/03/2002,<=2013,16.17,f,R,38E,,R,,12-Oct-07,,Dead,
37V,11/15/2003,<=2013,15.25,f,KK,19A,,KK,12/11/2018,,,Remove,
37Z,02/03/2004,<=2013,15,f,R,X28,,R,2/14/2006,,,Remove,
380,2/20/1970,<=2013,49,m,E,H5,,E,05/07/1971,,,Remove,
381,3/18/1970,<=2013,48.92,m,F,WX,X,X,03/10/1994,,10/05/1993,Remove,
382,02/04/1970,<=2013,49,f,F,DL,,F,,10-Jul-73,,Dead,
383,02/06/1970,<=2013,49,m,A,UW,,A,11/05/1971,,,Remove,
384,03/11/1970,<=2013,48.92,m,H,HT,F,F,1/22/1973,,10/09/1972,Remove,
385,3/19/1970,<=2013,48.92,m,A,JE,,A,11/05/1971,,,Remove,
386,2/13/1970,<=2013,49,f,A,FF,,A,11/05/1971,,,Remove,
387,04/09/1969,<=2013,49.83,m,A,81,,A,11/05/1971,,,Remove,
388,5/29/1970,<=2013,48.75,f,A,XW,,A,11/05/1971,,,Remove,
389,2/20/1970,<=2013,49,m,A,KZ,,A,11/05/1971,,,Remove,
38A,12/20/1992,<=2013,26.17,f,A,I44,,A,02/08/1995,,,Remove,
38B,1/23/1993,<=2013,26.08,m,R,C12,,R,01/09/1996,,,Remove,
38C,12/19/1993,<=2013,25.17,m,S,O36,,S,1/29/1996,,,Remove,
38D,1/17/1995,<=2013,24.08,f,F,K07,,F,1/29/1997,,,Remove,
38E,01/07/1996,<=2013,23.08,f,R,D07,,R,03/03/2010,,,Remove,
38F,12/08/1995,<=2013,23.17,f,S,Z74,nGG,nGG,3/13/2002,,05/01/1997,Remove,
38G,01/10/1997,<=2013,22.08,f,F,Z07,,F,03/05/1999,,,Remove,
38H,01/12/1997,<=2013,22.08,m,S,L37,nDD,nDD,2/25/1999,,05/01/1997,Remove,
38I,01/05/1998,<=2013,21.08,m,D,X55,,D,1/23/2001,,,Remove,
38J,03/12/1998,<=2013,20.92,f,F,Z08,,F,1/17/2001,,,Remove,
38K,12/12/1998,<=2013,20.17,f,F,56A,,F,4/27/2001,,,Remove,
38L,01/11/2000,<=2013,19.08,m,F,G43,X,X,,09-May-08,1/25/2008,Dead,***
38N,12/03/1999,<=2013,19.17,f,F,56A,,F,1/17/2002,,,Remove,
38O,12/03/2000,<=2013,18.17,f,LL,91E,F,F,1/22/2003,,5/22/2002,Remove,
38P,11/20/2000,<=2013,18.25,f,R,L19,,R,02/03/2010,,,Remove,
38R,11/24/2001,<=2013,17.25,m,R,K84,,R,1/22/2004,,,Remove,
38S,11/21/2001,<=2013,17.25,f,F,O52,,F,03/02/2004,,,Remove,
38T,12/08/2002,<=2013,16.17,f,S,06A,,S,2/14/2005,,,Remove,
38V,12/01/2003,<=2013,15.17,f,HH,78C,,HH,,27-Mar-09,,Dead,
38Z,10/18/2003,<=2013,15.33,F,S,I56,,S,,,,IN CS,
390,02/12/1969,<=2013,50,f,A,R,,A,11/05/1971,,,Remove,
391,03/05/1969,<=2013,49.92,m,E,OE,L,L,,09-Mar-73,09/11/1972,Dead,
392,3/13/1970,<=2013,48.92,f,E,WP,,E,08/02/1972,,,Remove,
393,4/21/1970,<=2013,48.83,m,A,OR,,A,,05-Nov-71,,Dead,
394,1/19/1970,<=2013,49.08,f,K,HJ,,K,2/18/1972,,,Remove,
395,3/13/1970,<=2013,48.92,m,K,U6,,K,3/13/1972,,,Remove,
396,2/28/1970,<=2013,49,f,K,7,,K,2/18/1972,,,Remove,
397,2/20/1969,<=2013,50,f,F,FB,,F,,19-Mar-75,,Dead,
398,3/24/1969,<=2013,49.92,f,E,ED,,E,7/31/1972,,,Remove,
399,3/29/1970,<=2013,48.92,m,A,K6,,A,11/05/1971,,,Remove,
39A,11/22/1992,<=2013,26.25,f,S,B64,nCC,CC,1/22/2004,,01/01/1996,Remove,
39B,2/25/1993,<=2013,26,f,F,K00,,F,02/12/2010,,,Remove,
39C,03/02/1994,<=2013,24.92,m,S,G11,V,V,,26-Mar-04,7/23/2002,Dead,
39D,02/06/1995,<=2013,24,f,F,L80,,F,2/28/1997,,,Remove,
39E,3/30/1996,<=2013,22.92,m,R,D92,,R,1/23/1998,,,Remove,
39F,1/18/1996,<=2013,23.08,f,R,X29,,R,,09-Mar-10,,Dead,
39G,12/29/1996,<=2013,22.17,m,F,K07,,F,,16-Jul-98,,Dead,
39H,1/16/1997,<=2013,22.08,m,S,G80,nDD,nDD,02/12/1999,,05/01/1997,Remove,
39I,2/13/1998,<=2013,21,f,R,J66,nJJ,JJ,02/06/2002,,8/16/1999,Remove,
39J,01/04/1998,<=2013,21.08,f,E,T12,,E,,01-Jan-99,,Dead,
39K,12/03/1998,<=2013,20.17,f,F,B75,,F,4/24/2001,,,Remove,
39L,1/30/2000,<=2013,19.08,m,F,D69,V,V,,23-Oct-17,02/09/2017,Dead,
39N,1/29/2000,<=2013,19.08,f,F,H74,,F,1/23/2002,,,Remove,
39O,11/27/2000,<=2013,18.25,m,LL,X51,,LL,1/22/2003,,,Remove,
39P,02/04/2001,<=2013,18,m,S,30F,,S,02/04/2003,,,Remove,
39R,10/23/2001,<=2013,17.33,m,R,X83,,R,1/21/2004,,,Remove,
39S,05/04/2002,<=2013,16.75,f,V,20C,,V,,13-Jul-06,,Dead,
39T,11/10/2002,<=2013,16.25,f,R,91K,,R,,16-Apr-08,,Dead,
39V,11/11/2003,<=2013,15.25,m,KK,45F,,KK,03/10/2005,,,Remove,
39Z,10/26/2003,<=2013,15.33,f,HH,22H,,HH,,17-Dec-14,,Dead,
3A,03/09/1967,<=2013,51.92,m,C,YR,,C,02/05/1968,,,Remove,
3A0,10/28/2004,<=2013,14.33,f,F,43F,,F,1/31/2007,,,Remove,
3A1,11/13/2004,<=2013,14.25,f,R,K81,,R,1/30/2007,,,Remove,
3A2,12/05/2004,<=2013,14.17,f,KK,34B,,KK,,18-Aug-14,,Dead,
3A3,10/21/2004,<=2013,14.33,m,R,35F,HH,HH,,16-Mar-10,4/13/2009,Dead,
3A4,11/06/2004,<=2013,14.25,f,HH,78C,,HH,,28-Aug-13,,Dead,
3A5,10/01/2004,<=2013,14.33,m,R,33C,,R,03/07/2006,,,Remove,
3A6,11/07/2004,<=2013,14.25,m,R,07L,HH,HH,10/27/2016,,07/07/2015,Remove,
3A7,11/11/2004,<=2013,14.25,F,R,O33,,R,,,,IN CS,
3A8,11/28/2004,<=2013,14.25,f,R,77G,,R,03/07/2006,,,Remove,
3A9,11/21/2004,<=2013,14.25,f,HH,81B,,HH,12/13/2016,,,Remove,
3B,4/27/1967,<=2013,51.83,m,C,UB,,C,12/02/1968,,,Remove,
3B0,11/16/2005,<=2013,13.25,f,R,T95,,R,2/16/2007,,,Remove,
3B1,11/03/2005,<=2013,13.25,F,R,X91,,R,,,,IN CS,
3B2,11/04/2005,<=2013,13.25,f,R,68C,,R,2/21/2007,,,Remove,
3B3,12/01/2005,<=2013,13.17,f,R,S96,,R,2/16/2007,,,Remove,
3B4,10/28/2005,<=2013,13.33,f,R,89K,,R,2/21/2007,,,Remove,
3B5,10/25/2005,<=2013,13.33,f,R,59F,,R,2/21/2007,,,Remove,
3B6,11/25/2005,<=2013,13.25,f,R,X37,,R,,07-Feb-07,,Dead,
3B7,11/03/2005,<=2013,13.25,f,S,Z99,,S,2/13/2007,,,Remove,
3B8,12/24/2005,<=2013,13.17,F,S,89L,,S,,,,IN CS,
3B9,10/24/2005,<=2013,13.33,M,R,15O,V,V,,,12/22/2017,IN CS,
3C,3/24/1967,<=2013,51.92,m,E,LU,,E,,11-Jul-68,,Dead,
3C0,12/23/2005,<=2013,13.17,f,HH,20S,,HH,,14-Apr-10,,Dead,
3C1,1/19/2006,<=2013,13.08,m,S,42A,,S,1/29/2010,,,Remove,
3C2,11/29/2005,<=2013,13.25,f,R,91A,,R,3/13/2007,,,Remove,
3C3,10/30/2005,<=2013,13.33,f,F,43I,F,F,,13-Jun-18,01/01/2014,Dead,
3C4,11/02/2005,<=2013,13.25,m,F,62H,,F,,15-Jan-11,,Dead,***
3C5,1/15/2006,<=2013,13.08,f,F,34N,,F,2/22/2007,,,Remove,
3C6,01/07/2006,<=2013,13.08,m,F,54D,,F,2/23/2007,,,Remove,
3C7,11/19/2005,<=2013,13.25,f,F,73B,,F,,28-Mar-07,,Dead,
3C8,01/01/2006,<=2013,13.08,m,F,64A,,F,2/23/2007,,,Remove,
3C9,10/21/2005,<=2013,13.33,m,F,35N,,F,2/16/2007,,,Remove,
3D,2/21/1967,<=2013,52,m,E,118,,E,,28-Feb-69,,Dead,
3D0,2/26/2007,<=2013,12,f,S,O35,,S,1/21/2009,,,Remove,
3D1,10/22/2006,<=2013,12.33,F,S,30F,,S,,,,IN CS,
3D2,10/19/2006,<=2013,12.33,m,R,50K,,R,1/26/2009,,,Remove,
3D3,10/08/2006,<=2013,12.33,m,S,N16,S,S,,23-Oct-14,6/17/2011,Dead,
3D4,10/16/2006,<=2013,12.33,F,S,51R,S,S,,,07/10/2017,IN CS,
3D5,11/14/2006,<=2013,12.25,f,V,31L,,V,02/05/2009,,,Remove,
3D6,11/21/2006,<=2013,12.25,m,V,15E,,V,02/05/2009,,,Remove,
3D7,12/30/2006,<=2013,12.17,m,V,20C,,V,1/21/2009,,,Remove,
3D8,12/05/2006,<=2013,12.17,f,V,25N,,V,1/28/2009,,,Remove,
3D9,01/05/2007,<=2013,12.08,F,V,T03,,V,,,,IN CS,
3E,03/10/1967,<=2013,51.92,f,E,TI,,E,,21-Dec-70,,Dead,
3.00E+00,10/24/2006,<=2013,12.33,m,HH,22H,,HH,02/05/2009,,,Remove,
3.00E+01,12/01/2006,<=2013,12.17,M,HH,90S,F,F,,,01/12/2018,IN CS,
3.00E+02,10/16/2006,<=2013,12.33,F,F,04N,,F,,,,IN CS,
3.00E+03,01/10/2007,<=2013,12.08,f,R,15C,,R,02/03/2009,,,Remove,
3.00E+04,12/10/2006,<=2013,12.17,m,R,30D,KK,KK,12/04/2018,,3/16/2018,Remove,
3.00E+05,12/26/2006,<=2013,12.17,f,F,N12,,F,03/04/2009,,,Remove,
3.00E+06,1/13/2007,<=2013,12.08,m,HH,28G,HH,HH,1/26/2009,,05/04/2007,Remove,
3.00E+07,11/10/2006,<=2013,12.25,f,F,Z11,F,F,,22-Oct-18,05/01/2014,Dead,
3.00E+08,1/16/2007,<=2013,12.08,f,V,14E,,V,1/22/2009,,,Remove,
3.00E+09,11/03/2006,<=2013,12.25,m,F,R65,R,R,,29-Jul-12,6/14/2011,Dead,*
3F,04/02/1967,<=2013,51.83,f,E,131,,E,5/17/1971,,,Remove,
3F0,11/14/2007,<=2013,11.25,m,R,02A,,R,02/11/2009,,,Remove,
3F1,11/08/2007,<=2013,11.25,f,F,88I,,F,02/10/2009,,,Remove,
3F2,11/18/2007,<=2013,11.25,m,F,29B,,F,02/10/2009,,,Remove,
3F3,9/22/2007,<=2013,11.42,m,R,38E,,R,1/19/2011,,,Remove,
3F4,12/22/2007,<=2013,11.17,F,R,11L,,R,,,,IN CS,
3F5,12/08/2007,<=2013,11.17,f,KK,48J,,KK,11/29/2018,,,Remove,
3F6,10/24/2007,<=2013,11.33,f,KK,03H,R,R,,29-Sep-14,10/29/2007,Dead,
3F7,10/01/2007,<=2013,11.33,f,KK,75J,,KK,11/28/2018,,,Remove,
3F8,10/20/2007,<=2013,11.33,F,R,03H,,R,,,,IN CS,
3F9,11/13/2007,<=2013,11.25,m,KK,19A,,KK,03/04/2009,,,Remove,
3G,02/10/1967,<=2013,52,m,E,UR,,E,,11-Jul-68,,Dead,
3G0,10/03/2008,<=2013,10.33,f,R,75L,,R,,30-Jan-15,,Dead,***
3G1,10/21/2008,<=2013,10.33,f,KK,55J,,KK,2/18/2010,,,Remove,
3G2,8/26/2008,<=2013,10.5,F,S,Z82,,S,,,,IN CS,
3G3,09/12/2008,<=2013,10.42,f,KK,44V,,KK,,29-Aug-17,,Dead,***
3G4,10/16/2008,<=2013,10.33,m,HH,V80,,HH,03/02/2010,,,Remove,
3G5,03/04/2009,<=2013,9.92,m,F,64D,,F,1/27/2011,,,Remove,
3G6,10/28/2008,<=2013,10.33,m,HH,19J,,HH,,30-Jun-10,,Dead,
3G7,9/22/2008,<=2013,10.42,m,F,56A,,F,1/19/2011,,,Remove,
3G8,10/26/2008,<=2013,10.33,m,F,34N,,F,2/26/2010,,,Remove,
3G9,10/09/2008,<=2013,10.33,m,HH,35O,,HH,02/01/2011,,,Remove,
3H,3/27/1967,<=2013,51.92,m,I,116,A,A,,01-Dec-71,9/30/1971,Dead,
3H0,11/17/2008,<=2013,10.25,F,V,1B0,,V,,,,IN CS,
3H1,9/30/2008,<=2013,10.42,f,V,20C,,V,02/03/2010,,,Remove,
3H2,9/16/2008,<=2013,10.42,m,V,99J,,V,02/03/2010,,,Remove,
3H3,12/13/2008,<=2013,10.17,m,S,T83,,S,2/18/2010,,,Remove,
3H4,10/18/2008,<=2013,10.33,F,R,4A5,,R,,,,IN CS,
3H5,9/22/2008,<=2013,10.42,f,R,15O,,R,2/18/2010,,,Remove,
3H6,10/12/2008,<=2013,10.33,F,R,95V,S,S,,,11/11/2016,IN CS,
3H7,10/10/2008,<=2013,10.33,m,R,28I,,R,1/27/2011,,,Remove,
3H8,10/25/2008,<=2013,10.33,m,R,89K,,R,2/18/2010,,,Remove,
3H9,11/02/2008,<=2013,10.25,m,R,31V,,R,1/26/2011,,,Remove,
3I,05/08/1967,<=2013,51.75,m,E,IS,L,L,10/10/1972,,9/21/1971,Remove,
3I0,10/25/2009,<=2013,9.33,m,S,1B4,,S,,14-Feb-11,,Dead,
3I1,11/01/2009,<=2013,9.25,m,S,5A0,,S,,10-Feb-11,,Dead,
3I2,11/01/2009,<=2013,9.25,M,R,4A0,V,V,,,03/01/2018,IN CS,
3I3,10/18/2009,<=2013,9.33,M,R,69O,,R,,,,IN CS,
3I4,11/08/2009,<=2013,9.25,F,S,2B4,,S,,,,IN CS,
3I5,10/03/2009,<=2013,9.33,M,R,14Z,V,V,,,6/13/2016,IN CS,
3I6,10/03/2009,<=2013,9.33,M,F,61A,V,V,,,12/10/2013,IN CS,
3I7,9/16/2009,<=2013,9.42,f,R,10C,,R,,25-Feb-12,,Dead,***
3I8,12/18/2009,<=2013,9.17,m,R,4A3,,R,,16-Feb-11,,Dead,
3I9,10/16/2009,<=2013,9.33,M,R,6A4,V,V,,,05/09/2014,IN CS,
3J,04/09/1967,<=2013,51.83,f,A,S,nL,nL,,31-Aug-76,11/10/1969,Dead,
3J0,11/07/2009,<=2013,9.25,f,R,77D,,R,02/01/2011,,,Remove,
3J1,10/21/2009,<=2013,9.33,m,R,28I,,R,02/01/2011,,,Remove,
3J2,10/20/2009,<=2013,9.33,m,R,60V,MM,MM,,08-Feb-17,6/16/2015,Dead,***
3J3,9/13/2009,<=2013,9.42,F,R,8A3,,R,,,,IN CS,
3J4,9/28/2009,<=2013,9.42,f,S,7A9,,S,,01-Aug-18,,Dead,***
3J5,10/11/2009,<=2013,9.33,F,R,76L,,R,,,,IN CS,
3J6,10/10/2009,<=2013,9.33,m,V,98J,,V,12/10/2013,,,Remove,
3J7,11/06/2009,<=2013,9.25,m,V,47Z,,V,,03-Jul-18,,Dead,
3J8,11/08/2009,<=2013,9.25,M,S,X60,,S,,,,IN CS,
3J9,10/31/2009,<=2013,9.33,f,R,07L,,R,02/01/2011,,,Remove,
3K,03/06/1967,<=2013,51.92,f,A,DR,,A,07/08/1968,,,Remove,
3K0,11/08/2010,<=2013,8.25,m,F,50S,,F,2/28/2012,,,Remove,
3K1,10/14/2010,<=2013,8.33,M,F,14L,V,V,,,12/21/2015,IN CS,
3K2,10/19/2010,<=2013,8.33,f,F,2A2,nNN,NN,,22-Jun-12,03/02/2012,Dead,***
3K3,9/30/2010,<=2013,8.42,m,F,52P,nNN,NN,,15-Jun-12,03/02/2012,Dead,***
3K4,10/02/2010,<=2013,8.33,M,F,28N,R,R,,,02/08/2017,IN CS,
3K5,10/12/2010,<=2013,8.33,m,F,60P,,F,2/28/2012,,,Remove,
3K6,10/06/2010,<=2013,8.33,M,F,0A9,R,R,,,03/11/2016,IN CS,
3K7,9/20/2010,<=2013,8.42,m,F,2A7,,F,2/28/2012,,,Remove,
3K8,10/24/2010,<=2013,8.33,f,F,10S,nNN,NN,,02-Aug-12,03/02/2012,Dead,***
3K9,12/06/2010,<=2013,8.17,m,R,33V,,R,2/28/2012,,,Remove,
3L,3/16/1967,<=2013,51.92,f,A,XP,,A,3/13/1972,,,Remove,
3L0,10/15/2010,<=2013,8.33,m,F,43F,,F,12/17/2013,,,Remove,
3L1,10/02/2010,<=2013,8.33,M,F,92D,,F,,,,IN CS,
3L2,10/01/2010,<=2013,8.33,M,KK,21H,F,F,,,01/12/2018,IN CS,
3L3,09/12/2010,<=2013,8.42,M,KK,07A,F,F,,,2/19/2016,IN CS,
3L4,10/04/2010,<=2013,8.33,m,KK,48J,V,V,,18-Mar-17,06/08/2015,Dead,***
3L5,12/04/2010,<=2013,8.17,m,HH,35O,,HH,10/20/2016,,,Remove,*
3L6,10/08/2010,<=2013,8.33,m,HH,20S,,HH,10/21/2016,,,Remove,
3L7,9/13/2010,<=2013,8.42,M,HH,5B4,R,R,,,2/23/2016,IN CS,
3L8,11/22/2010,<=2013,8.25,m,HH,55A,,HH,2/28/2012,,,Remove,
3L9,09/11/2010,<=2013,8.42,F,S,5A1,,S,,,,IN CS,
3M0,10/03/2011,<=2013,7.33,f,R,0.00E+00,,R,11/06/2015,,,Remove,
3M1,09/02/2011,<=2013,7.42,f,KK,60R,,KK,11/17/2015,,,Remove,
3M2,08/11/2011,<=2013,7.5,M,KK,24V,V,V,,,4/27/2016,IN CS,
3M3,9/26/2011,<=2013,7.42,m,KK,4F1,,KK,12/11/2018,,,Remove,
3M4,10/07/2011,<=2013,7.33,f,R,89K,,R,1/17/2014,,,Remove,
3M5,11/28/2011,<=2013,7.25,F,R,90V,,R,,,,IN CS,
3M6,09/06/2011,<=2013,7.42,f,KK,21H,,KK,11/05/2015,,,Remove,
3M7,9/24/2011,<=2013,7.42,F,R,4A5,,R,,,,IN CS,
3M8,09/10/2011,<=2013,7.42,M,R,8A5,V,V,,,3/23/2018,IN CS,
3M9,10/18/2011,<=2013,7.33,M,R,2F0,,R,,,,IN CS,
3N,03/04/1967,<=2013,51.92,f,H,97,,H,08/01/1972,,,Remove,
3N0,10/06/2011,<=2013,7.33,M,R,4F8,F,F,,,5/26/2016,IN CS,
3N1,10/15/2011,<=2013,7.33,f,R,69O,,R,1/24/2014,,,Remove,
3N2,9/15/2011,<=2013,7.42,m,HH,55R,,HH,12/06/2013,,,Remove,
3N3,9/14/2011,<=2013,7.42,f,HH,48V,,HH,12/01/2015,,,Remove,
3N4,10/11/2011,<=2013,7.33,f,HH,3A9,,HH,10/20/2016,,,Remove,
3N5,9/24/2011,<=2013,7.42,m,HH,36O,,HH,12/11/2013,,,Remove,
3N6,9/14/2011,<=2013,7.42,m,MM,6C5,,MM,1/31/2014,,,Remove,*
3N7,8/25/2011,<=2013,7.5,m,HH,1A4,V,V,,12-Aug-16,05/03/2016,Dead,***
3N8,9/13/2011,<=2013,7.42,f,HH,73C,,HH,02/12/2014,,,Remove,
3N9,10/16/2011,<=2013,7.33,m,HH,20S,,HH,12/19/2013,,,Remove,
3O0,9/24/2012,<=2013,6.42,F,R,77D,S,S,,,09/11/2017,IN CS,
3O1,8/17/2012,<=2013,6.5,f,R,0B5,,R,10/30/2014,,,Remove,
3O2,8/21/2012,<=2013,6.5,F,R,3H4,,R,,,,IN CS,
3O3,9/18/2012,<=2013,6.42,m,KK,93O,,KK,11/28/2018,,,Remove,
3O4,08/05/2012,<=2013,6.5,f,KK,49V,,KK,10/22/2015,,,Remove,
3O5,10/01/2012,<=2013,6.33,f,R,5C4,,R,,16-Dec-13,,Dead,
3O6,09/07/2012,<=2013,6.42,M,R,48N,,R,,,,IN CS,
3O7,9/23/2012,<=2013,6.42,m,KK,0B6,,KK,11/07/2018,,,Remove,
3O8,09/08/2012,<=2013,6.42,m,R,0A2,,R,10/30/2014,,,Remove,
3O9,9/28/2012,<=2013,6.42,M,R,6D8,,R,,,,IN CS,
3P,4/26/1967,<=2013,51.83,m,I,AA,,I,,03-Jun-68,,Dead,
3P0,09/10/2012,<=2013,6.42,m,F,0A9,,F,1/23/2014,,,Remove,
3P1,10/01/2012,<=2013,6.33,m,HH,80S,,HH,02/12/2014,,,Remove,
3P2,10/10/2012,<=2013,6.33,m,HH,2.00E+08,,HH,10/19/2016,,,Remove,
3P3,9/14/2012,<=2013,6.42,M,R,7A8,V,V,,,1/24/2018,IN CS,
3P4,9/26/2012,<=2013,6.42,m,HH,65Z,,HH,,01-Jan-16,,Dead,***
3P5,10/05/2012,<=2013,6.33,M,KK,3F7,R,R,,,2/23/2018,IN CS,
3P6,9/13/2012,<=2013,6.42,M,R,7A6,V,V,,,05/01/2018,IN CS,
3P7,8/15/2012,<=2013,6.5,f,HH,62S,,HH,12/13/2016,,,Remove,
3P8,8/19/2012,<=2013,6.5,f,F,8.00E+08,,F,11/17/2015,,,Remove,
3P9,09/04/2012,<=2013,6.42,m,F,74S,,F,,31-Oct-17,,Dead,
3Q,3/23/1967,<=2013,51.92,f,I,YI,,I,,23-Mar-71,,Dead,
3Q0,11/25/2013,2014,5.25,f,R,31V,,R,10/27/2015,,,Remove,
3Q1,9/27/2013,2014,5.42,M,R,3H4,,R,,,,IN CS,
3Q2,09/11/2013,2014,5.42,F,R,2G8,S,S,,,12/19/2016,IN CS,
3Q3,8/19/2013,2014,5.5,f,KK,3F5,,KK,11/27/2018,,,Remove,
3Q4,8/27/2013,2014,5.5,F,R,8A3,,R,,,,IN CS,
3Q5,10/27/2013,2014,5.33,m,HH,55R,,HH,10/19/2016,,,Remove,
3Q6,09/01/2013,2014,5.42,M,R,0B4,S,S,,,6/14/2016,IN CS,
3Q7,10/31/2013,2014,5.33,m,R,95V,,R,12/02/2014,,,Remove,
3Q8,09/01/2013,2014,5.42,f,R,0.00E+00,,R,,18-Oct-17,,Dead,
3Q9,09/02/2013,2014,5.42,m,KK,76J,,KK,10/31/2018,,,Remove,
3R,02/10/1967,<=2013,52,f,I,IW,,I,,07-Dec-76,,Dead,
3R0,8/17/2013,2014,5.5,F,KK,24V,,KK,,,,IN CS,-
3R1,8/24/2013,2014,5.5,m,HH,8.00E+02,,HH,12/07/2016,,,Remove,
3R2,08/01/2013,2014,5.5,F,R,2F0,,R,,,,IN CS,
3R3,8/13/2013,2014,5.5,f,HH,77S,,HH,10/27/2016,,,Remove,
3R4,7/27/2013,2014,5.58,f,HH,22H,,HH,10/20/2015,,,Remove,
3R5,9/20/2013,2014,5.42,f,HH,2C7,,HH,12/02/2014,,,Remove,
3R6,8/28/2013,2014,5.5,m,KK,44V,,KK,,28-Oct-14,,Dead,
3R7,8/19/2013,2014,5.5,m,HH,6H6,,HH,12/13/2016,,,Remove,
3R8,12/07/2013,2014,5.17,M,R,87F,,R,,,,IN CS,
3R9,9/13/2013,2014,5.42,f,KK,25P,,KK,11/27/2018,,,Remove,
3S,3/13/1967,<=2013,51.92,f,E,YM,,E,5/17/1971,,,Remove,
3S0,07/11/2013,2014,5.58,f,F,2H3,,F,,13-Feb-17,,Dead,
